Title	URL	Assignees	Status	Estimated size	Real size	Labels
Don't allow overlapping IP ranges in configurations	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/92		Product Backlog	1		
Provide adequate feedback for apt dependency updates of worker nodes	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/80		Product Backlog			
Automate worker configuration steps	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/53		Product Backlog			
Periodic check for updates	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/67		Product Backlog			
API | Endpoint to query existing ___ (vendor information)	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/64		Product Backlog			awaiting feedback, idea
Add priority attribute to firmware analysis job	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/77		Product Backlog			awaiting feedback, draft, idea
Abort firmware analysis from worker node UI	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/65		Product Backlog			idea
Mark partial results as incomplete	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/63		Product Backlog			idea
Add feedback for run_server.sh when EMBArk is running	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/78		Product Backlog			idea
Parallelize worker updates	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/83		Product Backlog			idea
Complete port scan for worker nodes	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/86		Product Backlog			idea
Update worker: fix empty placeholder	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/101	ClProsser	Sprint Backlog	0		bug
Handle unresponsive worker nodes	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/85	ashiven	In Progress	1		
Extend update user experience	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/74	SirGankalot	In Progress	1		
Orchestrator PR change requests	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/98	ClProsser	In Progress	1		
Change worker authentication to SSH Keys	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/97	ClProsser	In Progress	2		
Analysis jobs not restarted after soft reset	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/105	ashiven, SirGankalot	In Progress	1		bug
Indicate overall update availability	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/108	LukaDeka	In Progress			
Workers not consistently deleted	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/102	ClProsser	Awaiting Review	0		bug
Scans are not marked as finished correctly	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/103	ashiven	Awaiting Review	1		bug, Urgent - Dependency
Only configure workers if user password correct and has sudo permissions	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/100	LukaDeka	Awaiting Review	1		bug
Wiki entries for Orchestrator	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/95	SirGankalot	Awaiting Review	1		
Hard reset routine in arbitrary execution order and incomplete	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/104	ClProsser	Awaiting Review	1		bug
Show HEAD hash for worker EMBA version	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/107	LukaDeka	Awaiting Review			
Hard reset worker node	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/44	SirGankalot	Feature Archive	1	1	
API | Documentation tooling	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/22	ClProsser	Feature Archive	1	1	
Mount file system via SSHfs in Python	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/16	SirGankalot	Feature Archive	2	2	
API | Document API-Key generation	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/25	ashiven	Feature Archive	1	1	
API | Integration test API-Key generation	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/28	ashiven	Feature Archive	2	2	
